S/N,REGION,DISTRICT,CONSTITUENCY,CANDIDATE,PARTY,COMMENT
471,LANGO,DOKOLO,DOKOLO SOUTH,HON. FELIX OKOT OGONG,NRM,OLD
475,ACHOLI,KITGUM,CHUA WEST,HON. OKIN PP OJARA,FDC,OLD
478,ACHOLI,NWOYA,NWOYA EAST,HON. OYET SIMON,FDC,OLD
479,ACHOLI,PADER,WOMAN MP,HON. LOWILA CD OKETAYOT,NRM,OLD
483,ACHOLI,OMORO,OMORO,HON. OLANYA JACOB,NRM,OLD
484,ACHOLI,OMORO,TORCHI,HON. OKOT PETER,DP,OLD
489,ACHOLI,AMURU,WOMAN MP,HON. AKELLO LUCY,FDC,OLD
490,ACHOLI,AMURU,KILAK SOUTH,HON. OLANYA GILBERT,FDC,OLD
491,ACHOLI,AMURU,KILAK NORTH,HON. AKOL ANTHONY,FDC,OLD
492,ACHOLI,GULU CITY,CITY WOMAN MP,HON. BETTY AOL OCHAN,FDC,OLD
496,ACHOLI,GULU,ASWA,HON. OKUMU RONALD REAGAN,FDC,OLD
499,ACHOLI,LAMWO,PALABEK,HON. HILLARY ONEK,NRM,OLD
45,NORTH BUGANDA,NAKASEKE,NAKASEKE NORTH,NYONGORE ENOCK,NRM,UNOPPOSED
66,SOUTH BUGANDA,RAKAI,BUYAMBA,SEMWANGA GYAVIIRA,NRM,UNOPPOSED
70,SOUTH BUGANDA,SEMBABULE,WOMAN MP,BEGUMISA MARY,NRM,UNOPPOSED
155,RWENZORI,KAMWENGE,KIBALE EAST,HON. FRANK TUMWEBAZE,NRM,UNOPPOSED
156,RWENZORI,KAMWENGE,KIBALE,ABIGABA CURTHBERT MIREMBE,NRM,UNOPPOSED
184,RWENZORI,KYEGEGWA,KYAKA SOUTH,HON. JACKSON KAFUUZI,NRM,UNOPPOSED
210,BUNYORO,KIBAALE,BUYANJA,HON. MATIA KASAIJA,NRM,UNOPPOSED
211,BUNYORO,KIBAALE,BUYANJA EAST,DR. EMILY KUGONZA,NRM,UNOPPOSED
233,BUNYORO,HOIMA,BUGAHYA,WAKABI PIUS,NRM,UNOPPOSED
238,TESO,BUKEDEA,WOMAN MP,HON. AMONG ANITA ANNET,NRM,UNOPPOSED
382,KARAMOJA,NABILATUK,PIAN,ACHIA REMEGIO,NRM,UNOPPOSED
398,KARAMOJA,KAABONG,IK,LOKWANG HILLARY,NRM,UNOPPOSED
428,WEST NILE,ARUA,WOMAN MP,PAPARU LILLIAN OBIALE,NRM,UNOPPOSED
110,EAST ANKOLE,KAZO,KAZO,ATWIJUKIRE DAN KIMOSHO,NRM,Not known
120,EAST ANKOLE,MBARARA CITY,MBARARA CITY SOUTH,MWIINE MPAKA RWAMIRAMA,NRM,Not known
126,EAST ANKOLE,NTUNGAMO,KAJARA,TIMUZUGU KAMUGISHA MICHEAL,NRM,Not known
141,WEST ANKOLE,MITOOMA,RUHINDA,HON. OTAFIIRE KAHINDA,NRM,Not known
142,WEST ANKOLE,MITOOMA,RUHINDA SOUTH,MUGABE DONOZIO KAHONDA,NRM,Not known
143,WEST ANKOLE,MITOOMA,RUHINDA NORTH,TAYEBWA THOMAS,NRM,Not known
144,WEST ANKOLE,BUHWEJU,WOMAN MP,HON. OLIVA KOYEEKYENGA KATWESIGYE,NRM,Not known
164,RWENZORI,KITAGWENDA,WOMAN MP,NYAKATO DOROTHY,NRM,Not known
165,RWENZORI,KITAGWENDA,KITAGWENDA,BYAMUKAMA NULU JOSEPH,NRM,Not known
178,RWENZORI,KYENJOJO,MWENGE SOUTH,HON. KATALIHWA DONALD,NRM,Not known
180,RWENZORI,KYENJOJO,MWENGE NORTH,POSTPONED,,Not known
207,BUNYORO,BULIISA,WOMAN MP,HON.NORAH BIGIRWA,NRM,Not known
208,BUNYORO,BULIISA,BULIISA,ATUGONZA ALLAN,IND/NRM,Not known
215,BUNYORO,KIRYANDONGO,WOMAN MP,HON. KAHUNDE HELLEN,NRM,Not known
216,BUNYORO,KIRYANDONGO,KIBANDA NORTH,NGOMPEK LINOS,NRM,Not known
217,BUNYORO,KIRYANDONGO,KIBANDA SOUTH,KARUBANGA JACOB ATEENYI,NRM,Not known
222,BUNYORO,KAKUMIRO,BUGANGAIZI EAST,AGABA AISHA BLACK,NRM,Not known
224,BUNYORO,KAKUMIRO,BUGANGAIZI WEST,BYAMUKAMA FRED,NRM,Not known
225,BUNYORO,MASINDI,WOMAN MP,ASIIMWE FLORENCE AKIIKI,NRM,Not known
226,BUNYORO,MASINDI,MASINDI MUNICIPALITY,BUSINGE JOAB,FDC,Not known
227,BUNYORO,MASINDI,BUJENJE,NYENDWOHA KIIZA KENNETH,IND/NRM,Not known
228,BUNYORO,MASINDI,BURULI,HON .BINTU JALIA LUKUMU,IND/NRM,Not known
234,BUNYORO,HOIMA,KIGOROBYA,HON. KARUBANGA DAVIS,NRM,Not known
235,TESO,AMURIA,WOMAN MP,HON. AMERO SUSAN,IND/NRM,Not known
241,TESO,KABERAMAIDO,WOMAN MP,AWICH JANE,NRM,Not known
242,TESO,KABERAMAIDO,OCHERO,EMIGU JULIUS PETER,FDC,Not known
243,TESO,KABERAMAIDO,KABERAMAIDO,EDAKASI ALFRED ELAU,NRM,Not known
250,TESO,KAPELEBYONG,WOMAN MP,ATUTO JACINTA,NRM,Not known
251,TESO,KAPELEBYONG,KAPELEBYONG,ESENU ANTHONY,NRM,Not known
253,TESO,KUMI,KUMI,OPOLOT SIDONIUS,NRM,Not known
257,TESO,NGORA,KAPIR,DR ISMAT ABRAHAM,NRM,Not known
262,TESO,SERERE,PINGIRE,OPOLOT FRED,NRM,Not known
263,TESO,SOROTI CITY,CITY WOMAM MP,ALOBO JOAN ACOM,FDC,Not known
264,TESO,SOROTI CITY,EAST DIVISION,ATTAN MOSES OKIA,FDC,Not known
266,TESO,SOROTI,WOMAN MP,HON. ADEKE ANNA EBAJU,FDC,Not known
276,BUSOGA,BUGIRI,BUKHOOLI NORTH,BAAKA STEPHEN MUGABI,NRM,Not known
292,BUSOGA,JINJA CITY,CITY WOMAN MP,MUSIKA ANNET,NRM,Not known
295,BUSOGA,JINJA CITY,JINJA SOUTH WEST DIVISION,DR. BATUWA TIMOTHY LUSALA,FDC,Not known
304,BUSOGA,NAMAYINGO,BUKHOLI SOUTH,ADIDWA ABDU,IND/NRM,Not known
305,BUSOGA,NAMAYINGO,BUKHOLI ISLANDS,OKEYOH PETER BABU,NRM,Not known
350,ELGON,BULAMBULI,WOMAN MP,HON. MULONI IRENE,NRM,Not known
361,ELGON,NAMISINDWA,WOMAN MP,HON. SARAH KAYAKI NETALISILE,NRM,Not known
370,ELGON,KWEEN,WOMAN MP,ROSE EMMA CHERUKUT,NRM,Not known
371,ELGON,KWEEN,SOI,KISOSI CHEMASWEIT,NRM,Not known
372,ELGON,KWEEN,KWEEN,CHEMONGES WILLIAM,NRM,Not known
374,ELGON,BUKWO,KONGASIS,HON. CHELIMO PAUL RUEBEN,NRM,Not known
375,ELGON,BUKWO,TOO,ALINGA SOLOMON CHELEGAT,NRM,Not known
402,WEST NILE,OBONGI,WOMAN MP,MANEZO ZOMURA,NRM,Not known
412,WEST NILE,YUMBE,ARINGA NORTH,HON. ONZIMA GODFREY,NRM,Not known
413,WEST NILE,YUMBE,ARINGA EAST,OLERU HUDA ABASON,NRM,Not known
414,WEST NILE,YUMBE,ARINGA SOUTH,HON. ALIONI YORKE ODRIA,NRM,Not known
415,WEST NILE,KOBOKO,WOMAN MP,HON. TABAN SHARIFAH AATE,NRM,Not known
419,WEST NILE,PAKWACH,WOMAN MP,HON. AVUR JANE PACUTHO,NRM,Not known
424,WEST NILE,ARUA CITY,CITY WOMAN MP,HON. OSORU MOREEN,NRM,Not known
425,WEST NILE,ARUA CITY,AYIIVU WEST,LEMATIA JOHN,NRM,Not known
426,WEST NILE,ARUA CITY,AYIIVU EAST,HON. FETA GODFREY,NRM,Not known
429,WEST NILE,ARUA,VURRA,ADRIKO YOVAN,NRM,Not known
435,WEST NILE,TEREGO,WOMAN MP,OBINGA ROSE,NRM,Not known
437,WEST NILE,TEREGO,TEREGO WEST,LEKU JOEL,NRM,Not known
459,LANGO,KOLE,KOLE NORTH,DR. OPIO SAMUEL ACUTI,IND/NRM,Not known
482,ACHOLI,OMORO,WOMAN MP,HON. LAMWAKA CATHERINE,NRM,Not known
485,ACHOLI,AGAGO,WOMAN MP,AKELLO BEATRICE AKOR,NRM,Not known
488,ACHOLI,AGAGO,AGAGO WEST,ANYWAR RICKY RICHARD,NRM,Not known
494,ACHOLI,GULU CITY,GULU WEST,OJARA MAPENDUZI MARTIN,IND/FDC,Not known
498,ACHOLI,LAMWO,LAMWO,DR. AKULLO AABUKA,NRM,Not known
